scenario,sample_size,s_factor,value_f
chen2,50,54.0,3.16065401785
chen2,50,54.0,1.79328331705
chen2,50,54.0,3.4638781632
chen2,50,54.0,2.72679231454
chen2,50,54.0,3.06798952366
chen2,50,54.0,3.26287619205
chen2,50,54.0,1.80060270189
chen2,50,54.0,3.15261130387
chen2,50,54.0,-5.10263616982
chen2,50,54.0,2.79701752916
chen2,50,54.0,2.66779898507
chen2,50,54.0,2.76905531532
chen2,50,54.0,2.5499192267
chen2,50,55.0,2.28230798325
chen2,50,55.0,1.6955770581
chen2,50,55.0,3.35992243816
chen2,50,55.0,3.63599117346
chen2,50,55.0,1.91036386704
chen2,50,55.0,-2.7806302571
chen2,50,55.0,3.18580881146
chen2,50,55.0,-0.574137533877
chen2,50,55.0,2.30757991759
chen2,50,55.0,2.14464569169
chen2,50,55.0,2.63772656143
chen2,50,55.0,2.84159842668
chen2,50,55.0,3.11407630341
chen2,50,55.0,3.19809860137
chen2,50,55.0,-3.6088695535
chen2,50,55.0,2.03795320647
chen2,50,55.0,2.70906830932
chen2,50,55.0,0.495976664022
chen2,50,55.0,0.688097158601
chen2,50,55.0,1.01864101915
chen2,50,55.0,4.00684344364
chen2,50,55.0,-4.66463204708
chen2,50,55.0,2.059749705
chen2,50,55.0,0.0785106936427
chen2,50,55.0,-4.94996196501
chen2,50,55.0,2.81931974662
chen2,50,55.0,0.657169073341
chen2,50,55.0,2.14370797344
chen2,50,55.0,3.24452871937
chen2,50,55.0,4.01201922163
chen2,50,55.0,2.09009980637
chen2,50,55.0,2.94613742786
chen2,50,55.0,4.31249396075
chen2,50,55.0,3.48487041299
chen2,50,55.0,3.74128975612
chen2,50,55.0,2.98797065441
chen2,50,55.0,3.6824101129
chen2,50,55.0,3.16354233808
chen2,50,55.0,1.79679028223
chen2,50,55.0,3.46319603261
chen2,50,55.0,2.72553106663
chen2,50,55.0,3.06798952366
chen2,50,55.0,3.26791705343
chen2,50,55.0,1.8091006742
chen2,50,55.0,3.14814483066
chen2,50,55.0,-5.04821214404
chen2,50,55.0,2.80868073829
chen2,50,55.0,2.66779898507
chen2,50,55.0,2.77091302384
chen2,50,55.0,2.55340490361
chen2,50,56.0,2.28324993935
chen2,50,56.0,1.73099559472
chen2,50,56.0,3.3605457699
chen2,50,56.0,3.63473511691
chen2,50,56.0,1.91673020708
chen2,50,56.0,-2.74013848521
chen2,50,56.0,3.18880660368
chen2,50,56.0,-0.562236762808
chen2,50,56.0,2.30886174596
chen2,50,56.0,2.14650931554
chen2,50,56.0,2.63709524627
chen2,50,56.0,2.8346440929
chen2,50,56.0,3.11506716262
chen2,50,56.0,3.19809860137
chen2,50,56.0,-3.57059101762
chen2,50,56.0,2.03734015188
chen2,50,56.0,2.70783803376
chen2,50,56.0,0.518801597141
chen2,50,56.0,0.694212763748
chen2,50,56.0,1.05641760452
chen2,50,56.0,4.01136371375
chen2,50,56.0,-4.66463204708
chen2,50,56.0,2.09685411595
chen2,50,56.0,0.0799471452869
chen2,50,56.0,-4.94996196501
chen2,50,56.0,2.82342017326
chen2,50,56.0,0.689958983689
chen2,50,56.0,2.1455715491
chen2,50,56.0,3.2499361766
chen2,50,56.0,4.01706263246
chen2,50,56.0,2.10392266685
chen2,50,56.0,2.94551320333
chen2,50,56.0,4.31463296288
chen2,50,56.0,3.48786403331
chen2,50,56.0,3.74809662039
chen2,50,56.0,2.98857347798
chen2,50,56.0,3.68951630866
chen2,50,56.0,3.16506384818
chen2,50,56.0,1.80172017006
chen2,50,56.0,3.46563986101
chen2,50,56.0,2.72426981872
chen2,50,56.0,3.07001542277
chen2,50,56.0,3.27232780713
chen2,50,56.0,1.81961350682
chen2,50,56.0,3.14673946786
chen2,50,56.0,-5.01330158701
chen2,50,56.0,2.81282650973
chen2,50,56.0,2.66779898507
chen2,50,56.0,2.77153226001
chen2,50,56.0,2.56334288685
chen2,50,57.0,2.28388576935
chen2,50,57.0,1.7597464184
chen2,50,57.0,3.35992243816
chen2,50,57.0,3.63347906036
chen2,50,57.0,1.93161450003
chen2,50,57.0,-2.69841968993
chen2,50,57.0,3.19240395434
chen2,50,57.0,-0.537789463297
chen2,50,57.0,2.31078448852
chen2,50,57.0,2.14775173144
chen2,50,57.0,2.63898919177
chen2,50,57.0,2.81969167807
chen2,50,57.0,3.11596837672
chen2,50,57.0,3.19870905362
chen2,50,57.0,-3.53037122493
chen2,50,57.0,2.03795320647
chen2,50,57.0,2.70845317154
chen2,50,57.0,0.544177006661
chen2,50,57.0,0.713782700218
chen2,50,57.0,1.08936166669
chen2,50,57.0,4.01065445884
chen2,50,57.0,-4.66463204708
chen2,50,57.0,2.12949920448
chen2,50,57.0,0.0837281207464
chen2,50,57.0,-4.94996196501
chen2,50,57.0,2.83236105687
chen2,50,57.0,0.722892018333
chen2,50,57.0,2.14867750854
chen2,50,57.0,3.25736405455
chen2,50,57.0,4.01201922163
chen2,50,57.0,2.11881113665
chen2,50,57.0,2.94426475428
chen2,50,57.0,4.32616413705
chen2,50,57.0,3.48723845177
chen2,50,57.0,3.75167084034
chen2,50,57.0,2.98736783084
chen2,50,57.0,3.69600862544
chen2,50,57.0,3.16520724638
chen2,50,57.0,1.80826508332
chen2,50,57.0,3.46654615381
chen2,50,57.0,2.72300857082
chen2,50,57.0,3.07665817513
chen2,50,57.0,3.28114931453
chen2,50,57.0,1.83457681978
chen2,50,57.0,3.1509214883
chen2,50,57.0,-4.98537314139
chen2,50,57.0,2.82193762811
chen2,50,57.0,2.66779898507
chen2,50,57.0,2.76905531532
chen2,50,57.0,2.57141749822
chen2,50,58.0,2.28452159935
chen2,50,58.0,1.77660399551
chen2,50,58.0,3.35929910641
chen2,50,58.0,3.63159497554
chen2,50,58.0,1.93591076084
chen2,50,58.0,-2.65179280108
chen2,50,58.0,3.19420262967
chen2,50,58.0,-0.522577697645
chen2,50,58.0,2.31078448852
chen2,50,58.0,2.14650931554
chen2,50,58.0,2.63974988264
chen2,50,58.0,2.81346150522
chen2,50,58.0,3.11474318068
chen2,50,58.0,3.19809860137
chen2,50,58.0,-3.49312058525
chen2,50,58.0,2.03734015188
chen2,50,58.0,2.70783803376
chen2,50,58.0,0.554588069007
chen2,50,58.0,0.718382818879
chen2,50,58.0,1.12937746417
chen2,50,58.0,4.01185193971
chen2,50,58.0,-4.66463204708
chen2,50,58.0,2.16272805357
chen2,50,58.0,0.087509096206
chen2,50,58.0,-4.94996196501
chen2,50,58.0,2.83806587972
chen2,50,58.0,0.757968686793
chen2,50,58.0,2.14867750854
chen2,50,58.0,3.2600834819
chen2,50,58.0,4.01367193211
chen2,50,58.0,2.13007983457
chen2,50,58.0,2.94301630523
chen2,50,58.0,4.33010095873
chen2,50,58.0,3.48848961486
chen2,50,58.0,3.75465928109
chen2,50,58.0,2.98881977043
chen2,50,58.0,3.7000596629
chen2,50,58.0,3.16523147244
chen2,50,58.0,1.81740258905
chen2,50,58.0,3.4708228535
chen2,50,58.0,2.72237794687
chen2,50,58.0,3.07665817513
chen2,50,58.0,3.28273034587
chen2,50,58.0,1.84690283395
chen2,50,58.0,3.15794023192
chen2,50,58.0,-4.95196483655
chen2,50,58.0,2.82924200202
chen2,50,58.0,2.66779898507
chen2,50,58.0,2.77312281163
chen2,50,58.0,2.57762873774
chen2,50,59.0,2.28642908935
chen2,50,59.0,1.79556392713
chen2,50,59.0,3.3605457699
chen2,50,59.0,3.63410708864
chen2,50,59.0,1.94052835318
chen2,50,59.0,-2.60577942394
chen2,50,59.0,3.19780724163
chen2,50,59.0,-0.506873620042
chen2,50,59.0,2.31270723108
chen2,50,59.0,2.14526689964
chen2,50,59.0,2.63911856748
chen2,50,59.0,2.80660831509
chen2,50,59.0,3.10577841284
chen2,50,59.0,3.19565679236
chen2,50,59.0,-3.44739972089
chen2,50,59.0,2.03697788456
chen2,50,59.0,2.70815802267
chen2,50,59.0,0.580573874116
chen2,50,59.0,0.717159697849
chen2,50,59.0,1.17373358551
chen2,50,59.0,4.00825829815
chen2,50,59.0,-4.66463204708
chen2,50,59.0,2.19573370803
chen2,50,59.0,0.0887694213592
chen2,50,59.0,-4.94996196501
chen2,50,59.0,2.84343040988
chen2,50,59.0,0.781286921186
chen2,50,59.0,2.14805631665
chen2,50,59.0,3.26071512539
chen2,50,59.0,4.01556321118
chen2,50,59.0,2.13833656941
chen2,50,59.0,2.94301630523
chen2,50,59.0,4.33581071635
chen2,50,59.0,3.49099194106
chen2,50,59.0,3.75340547342
chen2,50,59.0,2.99002541757
chen2,50,59.0,3.70769626058
chen2,50,59.0,3.16892427071
chen2,50,59.0,1.82171993213
chen2,50,59.0,3.47383506665
chen2,50,59.0,2.72363919477
chen2,50,59.0,3.08074951623
chen2,50,59.0,3.28777120724
chen2,50,59.0,1.85999573279
chen2,50,59.0,3.16115340254
chen2,50,59.0,-4.91641954212
chen2,50,59.0,2.84142976905
chen2,50,59.0,2.66779898507
chen2,50,59.0,2.77498052015
chen2,50,59.0,2.5860918451
chen2,50,60.0,2.28904096172
chen2,50,60.0,1.79966649901
chen2,50,60.0,3.36116910164
chen2,50,60.0,3.63222300381
chen2,50,60.0,1.94959300268
chen2,50,60.0,-2.55485795323
chen2,50,60.0,3.20140459229
chen2,50,60.0,-0.481523660431
chen2,50,60.0,2.31398905945
chen2,50,60.0,2.14483289876
chen2,50,60.0,2.63911856748
chen2,50,60.0,2.80309383955
chen2,50,60.0,3.10577841284
chen2,50,60.0,3.19565679236
chen2,50,60.0,-3.41049475741
chen2,50,60.0,2.03636482998
chen2,50,60.0,2.70815802267
chen2,50,60.0,0.596424288622
chen2,50,60.0,0.723275302996
chen2,50,60.0,1.21000961851
chen2,50,60.0,4.00954165752
chen2,50,60.0,-4.66463204708
chen2,50,60.0,2.22866443556
chen2,50,60.0,0.0887694213592
chen2,50,60.0,-4.94996196501
chen2,50,60.0,2.84940096693
chen2,50,60.0,0.80871904883
chen2,50,60.0,2.14929870043
chen2,50,60.0,3.26526165276
chen2,50,60.0,4.01852601834
chen2,50,60.0,2.14963762536
chen2,50,60.0,2.94176785618
chen2,50,60.0,4.33292663157
chen2,50,60.0,3.49224310415
chen2,50,60.0,3.75336803382
chen2,50,60.0,2.99063579733
chen2,50,60.0,3.71257915568
chen2,50,60.0,3.17379814092
chen2,50,60.0,1.82973785499
chen2,50,60.0,3.48177750894
chen2,50,60.0,2.72300857082
chen2,50,60.0,3.08503128837
chen2,50,60.0,3.29029163793
chen2,50,60.0,1.86771666677
chen2,50,60.0,3.15987726733
chen2,50,60.0,-4.88722118467
chen2,50,60.0,2.84600791569
chen2,50,60.0,2.66779898507
chen2,50,60.0,2.7737420478
chen2,50,60.0,2.59043971276
chen2,50,61.0,2.29094845172
chen2,50,61.0,1.81040194129
chen2,50,61.0,3.36303909686
chen2,50,61.0,3.63222300381
chen2,50,61.0,1.95441256194
chen2,50,61.0,-2.50454999421
chen2,50,61.0,3.20200415073
chen2,50,61.0,-0.464417325903
chen2,50,61.0,2.31462997363
chen2,50,61.0,2.14669652261
chen2,50,61.0,2.63974988264
chen2,50,61.0,2.78932768084
chen2,50,61.0,3.10884476312
chen2,50,61.0,3.19554736923
chen2,50,61.0,-3.37224995807
chen2,50,61.0,2.03636482998
chen2,50,61.0,2.70631260932
chen2,50,61.0,0.622280384373
chen2,50,61.0,0.725721545055
chen2,50,61.0,1.24499493441
chen2,50,61.0,4.00708115129
chen2,50,61.0,-4.66463204708
chen2,50,61.0,2.26080613526
chen2,50,61.0,0.087509096206
chen2,50,61.0,-4.94996196501
chen2,50,61.0,2.85751871434
chen2,50,61.0,0.837512696572
chen2,50,61.0,2.15116227609
chen2,50,61.0,3.25982267082
chen2,50,61.0,4.02187093551
chen2,50,61.0,2.16401093275
chen2,50,61.0,2.94301630523
chen2,50,61.0,4.33732139709
chen2,50,61.0,3.49224310415
chen2,50,61.0,3.7611806743
chen2,50,61.0,2.99184144448
chen2,50,61.0,3.713182692
chen2,50,61.0,3.17884279761
chen2,50,61.0,1.83274768552
chen2,50,61.0,3.48108086311
